Analysis Time;Product Name;Product Code;Sample Type;Sample Number;Sample Comment;Instrument Name;Instrument Serial Number;Humedad;Standard Deviation Humedad;Min Humedad;Max Humedad;Global H Humedad;Neighbourhood H Humedad;t-statistics Humedad;Ref Humedad;Grasa;Standard Deviation Grasa;Min Grasa;Max Grasa;Global H Grasa;Neighbourhood H Grasa;t-statistics Grasa;Ref Grasa;Cenizas;Standard Deviation Cenizas;Min Cenizas;Max Cenizas;Global H Cenizas;Neighbourhood H Cenizas;Ref Cenizas;pH;Standard Deviation pH;Min pH;Max pH;Global H pH;Neighbourhood H pH;t-statistics pH;Ref pH;Cup id;Cup type
01/02/2022 20:03;CACAO (POLVO);CACAO_POLVO;Normal;166/22;;NIRS DS3 F;91889831;2.6;0.01;2.579;2.611;0.68;0.13;0.22;3.76;11.31;0.013;11.288;11.33;0.14;0;;11.35;;;;;;;;5.67;0.093;5.488;5.778;0.68;0.13;-1.46;5.48;82125;2501
01/02/2022 20:04;CACAO (POLVO);CACAO_POLVO;Normal;167/22;;NIRS DS3 F;91889831;2.44;0.007;2.437;2.456;0.54;0.12;-0.07;3.48;11.3;0.026;11.263;11.338;0.14;0;;11.15;;;;;;;;5.72;0.04;5.663;5.768;0.54;0.12;-1.41;5.58;82139;2501
01/02/2022 20:05;CACAO (POLVO);CACAO_POLVO;Normal;168/22;;NIRS DS3 F;91889831;2.38;0.007;2.369;2.393;0.56;0.11;-0.19;3.45;11.16;0.024;11.121;11.193;0.4;0;;10.82;;;;;;;;5.71;0.05;5.651;5.777;0.56;0.11;-1.42;5.57;82125;2501
01/02/2022 20:06;CACAO (POLVO);CACAO_POLVO;Normal;172/22;;NIRS DS3 F;91889831;2.51;0.013;2.497;2.536;0.87;0.17;0.06;3.55;10.89;0.023;10.863;10.93;0.79;0;;10.62;;;;;;;;5.73;0.089;5.602;5.837;0.87;0.17;-1.4;5.58;82139;2501
01/02/2022 20:07;CACAO (POLVO);CACAO_POLVO;Normal;176/22;;NIRS DS3 F;91889831;2.27;0.005;2.257;2.272;0.77;0.13;-0.41;3.31;11.44;0.027;11.409;11.473;0.55;0.03;;10.25;;;;;;;;7.62;0.056;7.542;7.689;0.77;0.13;0.33;7.43;82125;2501
01/02/2022 20:09;CACAO (POLVO);CACAO_POLVO;Normal;177/22;;NIRS DS3 F;91889831;2.22;0.008;2.208;2.229;0.94;0.22;-0.5;3.14;11.62;0.082;11.434;11.669;0.61;0.05;;11.08;;;;;;;;7.62;0.068;7.54;7.712;0.94;0.22;0.33;7.52;82139;2501
01/02/2022 20:10;CACAO (POLVO);CACAO_POLVO;Normal;186/22;;NIRS DS3 F;91889831;2.35;0.004;2.346;2.356;0.64;0.13;-0.25;3.47;11.04;0.031;10.984;11.057;0.72;0.03;;10.59;;;;;;;;5.82;0.058;5.735;5.909;0.64;0.13;-1.32;5.69;82125;2501
01/02/2022 20:11;CACAO (POLVO);CACAO_POLVO;Normal;187/22;;NIRS DS3 F;91889831;2.29;0.007;2.281;2.301;0.84;0.26;-0.35;3.51;10.9;0.024;10.864;10.933;0.96;0.13;;10.59;;;;;;;;6.85;0.078;6.709;6.923;0.84;0.26;-0.37;6.71;82139;2501
01/02/2022 20:12;CACAO (POLVO);CACAO_POLVO;Normal;196/22;;NIRS DS3 F;91889831;2.23;0.006;2.224;2.244;0.8;0.28;-0.47;3.28;11;0.024;10.971;11.037;0.77;0.06;;11.09;;;;;;;;6.92;0.076;6.827;7.053;0.8;0.28;-0.31;6.66;82125;2501
01/02/2022 20:13;CACAO (POLVO);CACAO_POLVO;Normal;197/22;;NIRS DS3 F;91889831;2.34;0.011;2.318;2.347;0.87;0.21;-0.27;3.49;10.9;0.014;10.866;10.905;0.85;0.11;;11.11;;;;;;;;6.91;0.07;6.814;7.007;0.87;0.21;-0.32;6.58;82139;2501
